organism,locus_tag,gene,product,length_nt,length_aa,strand,rel_position,intergenic_prev,intergenic_next,same_strand_prev,same_strand_next,operon_prev,essential,function_class,gravy,pI,aromaticity,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y
syn3a,JCVISYN3A_0001,dnaA,Chromosomal replication initiator protein,1353,450,1,1.8413289976173203e-06,,157.0,,1.0,0,1,Genetic Information Processing,-0.4168888888888893,9.4173583984375,0.08666666666666667,0.042222222222222223,0.0022222222222222222,0.05555555555555555,0.07777777777777778,0.05555555555555555,0.03777777777777778,0.015555555555555555,0.12,0.12666666666666668,0.07333333333333333,0.015555555555555555,0.08666666666666667,0.013333333333333334,0.04,0.024444444444444446,0.07111111111111111,0.05555555555555555,0.05555555555555555,0.0022222222222222222,0.028888888888888888
syn3a,JCVISYN3A_0002,dnaN,DNA polymerase III subunit beta,1128,375,1,0.002782248115399771,157.0,36.0,1.0,1.0,0,1,Genetic Information Processing,-0.029066666666666626,4.6449127197265625,0.08266666666666667,0.029333333333333333,0.0,0.07466666666666667,0.06933333333333333,0.06666666666666667,0.032,0.0026666666666666666,0.12266666666666666,0.09066666666666667,0.112,0.013333333333333334,0.09866666666666667,0.032,0.02666666666666667,0.024,0.072,0.042666666666666665,0.07466666666666667,0.0,0.016
syn3a,JCVISYN3A_0003,rnmV,Ribonuclease M5,543,180,1,0.004925555068626332,36.0,-11.0,1.0,1.0,1,0,Genetic Information Processing,-0.4033333333333333,9.5694580078125,0.09444444444444444,0.03333333333333333,0.005555555555555556,0.1,0.03333333333333333,0.03888888888888889,0.044444444444444446,0.0,0.14444444444444443,0.15555555555555556,0.07222222222222222,0.016666666666666666,0.09444444444444444,0.005555555555555556,0.016666666666666666,0.011111111111111112,0.07777777777777778,0.05555555555555555,0.03888888888888889,0.016666666666666666,0.03888888888888889
syn3a,JCVISYN3A_0004,ksgA,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase,801,266,1,0.0059051420953587464,-11.0,56.0,1.0,1.0,1,0,Genetic Information Processing,-0.2402255639097745,9.512847900390625,0.10526315789473684,0.03007518796992481,0.007518796992481203,0.06390977443609022,0.045112781954887216,0.05639097744360902,0.015037593984962405,0.0037593984962406013,0.12406015037593984,0.11654135338345864,0.11278195488721804,0.015037593984962405,0.12406015037593984,0.018796992481203006,0.04887218045112782,0.022556390977443608,0.05639097744360902,0.03383458646616541,0.05639097744360902,0.0,0.04887218045112782
syn3a,JCVISYN3A_0005,,Uncharacterized protein,1092,363,1,0.007483161046316789,56.0,359.0,1.0,1.0,0,0,Unclear,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
syn3a,JCVISYN3A_0006,gyrB,DNA gyrase subunit B,1905,634,1,0.010154929421859521,359.0,15.0,1.0,1.0,0,1,Genetic Information Processing,-0.4422712933753937,5.54010009765625,0.08201892744479496,0.06624605678233439,0.0031545741324921135,0.06309148264984227,0.083596214511041,0.03470031545741325,0.06309148264984227,0.01892744479495268,0.08201892744479496,0.08990536277602523,0.0914826498422713,0.01892744479495268,0.06309148264984227,0.026813880126182965,0.03627760252365931,0.03785488958990536,0.055205047318611984,0.061514195583596214,0.056782334384858045,0.00473186119873817,0.04258675078864353
syn3a,JCVISYN3A_0007,gyrA,DNA gyrase subunit A,2505,834,1,0.013690281097284776,15.0,51.0,1.0,0.0,1,1,Genetic Information Processing,-0.429016786570742,6.62017822265625,0.0683453237410072,0.05155875299760192,0.0,0.07434052757793765,0.06954436450839328,0.03117505995203837,0.05875299760191847,0.016786570743405275,0.1079136690647482,0.08513189448441247,0.08513189448441247,0.02158273381294964,0.08273381294964029,0.02997601918465228,0.02158273381294964,0.05515587529976019,0.05635491606714628,0.05635491606714628,0.05875299760191847,0.002398081534772182,0.03477218225419664
syn3a,JCVISYN3A_0008,rnsD; uptD,Nucleoside ABC transporter permease,978,325,-1,0.018396718015194647,51.0,-1.0,0.0,1.0,0,1,Metabolism,0.9569230769230778,10.307952880859375,0.10461538461538461,0.10461538461538461,0.0,0.012307692307692308,0.009230769230769232,0.06461538461538462,0.10153846153846154,0.003076923076923077,0.12307692307692308,0.04,0.11076923076923077,0.027692307692307693,0.046153846153846156,0.021538461538461538,0.033846153846153845,0.015384615384615385,0.08307692307692308,0.07076923076923076,0.09230769230769231,0.015384615384615385,0.024615384615384615
syn3a,JCVISYN3A_0009,rnsC; uptD,Nucleoside ABC transporter permease,2568,855,-1,0.02019569644586677,-1.0,-11.0,1.0,1.0,1,1,Metabolism,-0.08467836257309858,10.230594635009766,0.09941520467836257,0.05146198830409357,0.0023391812865497076,0.03274853801169591,0.03976608187134503,0.05146198830409357,0.03742690058479532,0.008187134502923977,0.12514619883040937,0.12514619883040937,0.1111111111111111,0.00935672514619883,0.07953216374269007,0.014035087719298246,0.05964912280701754,0.0152046783625731,0.08771929824561403,0.05497076023391813,0.04678362573099415,0.012865497076023392,0.03508771929824561
syn3a,JCVISYN3A_0010,rnsA; uptA,Nucleoside ABC transporter ATP-binding protein,1617,538,-1,0.024903974692774257,-11.0,11.0,1.0,1.0,1,1,Metabolism,-0.15613382899628261,9.838890075683594,0.04460966542750929,0.055762081784386616,0.0,0.05204460966542751,0.06505576208178439,0.022304832713754646,0.07434944237918216,0.01858736059479554,0.120817843866171,0.11338289962825279,0.08550185873605948,0.02973977695167286,0.06319702602230483,0.022304832713754646,0.048327137546468404,0.03345724907063197,0.04275092936802974,0.04275092936802974,0.08736059479553904,0.0,0.022304832713754646
